1,mint
2,én
3,az ő
4,hogy
5,ő
6,volt
7,ért
8,ra
9,vannak
10,vele
11,ők
12,lenni
13,nál
14,egy
15,van
16,ez
17,-ból
18,által
19,forró
20,szó
21,de
22,mi
23,néhány
24,van
25,ez
26,te
27,vagy
28,volt
29,a
30,-nak
31,-ba
32,és
33,egy
34,-ban
35,mi
36,tud
37,ki
38,másik
39,voltak
40,melyik
41,csinál
42,az ő
43,idő
44,ha
45,akar
46,hogyan
47,mondta
48,egy
49,minden
50,mondani
51,tesz
52,állít
53,három
54,akar
55,levegő
56,jól
57,szintén
58,játszik
59,kicsi
60,vége
61,tesz
62,otthon
63,olvas
64,kéz
65,kikötő
66,nagy
67,varázsol
68,hozzáad
69,még
70,szárazföld
71,itt
72,kell
73,nagy
74,magas
75,olyan
76,követ
77,tevékenység
78,miért
79,kérdez
80,férfiak
81,változás
82,ment
83,fény
84,kedves
85,le
86,kell
87,ház
88,kép
89,próbál
90,mi
91,újra
92,állat
93,pont
94,anya
95,világ
96,közel
97,épít
98,ön
99,föld
100,apa
101,bármely
102,új
103,mű
104,rész
105,vesz
106,kap
107,hely
108,készült
109,él
110,hol
111,után
112,vissza
113,kicsi
114,csak
115,kerek
116,férfi
117,év
118,jött
119,mutat
120,minden
121,jó
122,én
123,ad
124,a mi
125,alatt
126,név
127,nagyon
128,át
129,csak
130,forma
131,mondat
132,nagy
133,gondolkodik
134,mond
135,segítség
136,alacsony
137,vonal
138,különbözik
139,fordul
140,okoz
141,sok
142,jelent
143,előtt
144,mozog
145,jó
146,fiú
147,régi
148,túl
149,ugyanaz
150,ő
151,mind
152,ott
153,mikor
154,fel
155,használ
156,a te
157,út
158,-ról
159,sok
160,aztán
161,azokat
162,ír
163,lenne
164,úgy
165,így
166,ezeket
167,ő
168,hosszú
169,csinál
170,dolog
171,lát
172,őt
173,kettő
174,van
175,néz
176,több
177,nap
178,tudott
179,megy
180,jön
181,csinált
182,szám
183,hang
184,nem
185,legtöbb
186,emberek
187,enyém
188,át
189,tudja
190,víz
191,mint
192,hívás
193,első
194,ki
195,talán
196,le
197,oldal
